DATE,HOUR,STATION,FSP
23/4/2017,18,CENTRAL/WESTERN,40
23/4/2017,19,CENTRAL/WESTERN,41
23/4/2017,20,CENTRAL/WESTERN,43
23/4/2017,21,CENTRAL/WESTERN,46
23/4/2017,22,CENTRAL/WESTERN,45
23/4/2017,23,CENTRAL/WESTERN,40
23/4/2017,24,CENTRAL/WESTERN,33
24/4/2017,1,CENTRAL/WESTERN,32
24/4/2017,2,CENTRAL/WESTERN,30
24/4/2017,3,CENTRAL/WESTERN,29
24/4/2017,4,CENTRAL/WESTERN,29
24/4/2017,5,CENTRAL/WESTERN,28
24/4/2017,6,CENTRAL/WESTERN,27
24/4/2017,7,CENTRAL/WESTERN,29
24/4/2017,8,CENTRAL/WESTERN,29
24/4/2017,9,CENTRAL/WESTERN,34
24/4/2017,10,CENTRAL/WESTERN,33
24/4/2017,11,CENTRAL/WESTERN,35
24/4/2017,12,CENTRAL/WESTERN,40
24/4/2017,13,CENTRAL/WESTERN,40
24/4/2017,14,CENTRAL/WESTERN,44
24/4/2017,15,CENTRAL/WESTERN,46
24/4/2017,16,CENTRAL/WESTERN,42
24/4/2017,17,CENTRAL/WESTERN,41
24/4/2017,18,CENTRAL/WESTERN,33
24/4/2017,19,CENTRAL/WESTERN,37
24/4/2017,20,CENTRAL/WESTERN,36
24/4/2017,21,CENTRAL/WESTERN,33
24/4/2017,22,CENTRAL/WESTERN,33
24/4/2017,23,CENTRAL/WESTERN,36
24/4/2017,24,CENTRAL/WESTERN,35
25/4/2017,1,CENTRAL/WESTERN,31
25/4/2017,2,CENTRAL/WESTERN,29
